"","x"
"1098",0.905091320123992
"1099",0
"1100",0
"1101",0
"1102",0
"1103",0
"1104",0
"1105",0
"1106",0
"1107",0
"1108",0
"1109",0
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",0
"1118",0
"1119",0
"1120",0
"1121",0
"1122",0
"1123",0
"1124",0
"1125",0
"1126",0
"1127",0
"1128",0
"1129",0
"1130",0
"1131",0
"1132",0
"1133",0
"1134",0
"1135",0
"1136",0.00113292723057284
"1137",0.000183368201561325
"1138",0
"1139",0.031092861001079
"1140",0
"1141",0
"1142",0
"1143",0
"1144",0
"1145",2.3905613935802e-05
"1146",0
"1147",0
"1148",0
"1149",0.00613670815080552
"1150",0
"1151",0
"1152",0
"1153",0
"1154",0
"1155",0
"1156",0
"1157",0
"1158",0
"1159",0
"1160",0
"1161",0
"1162",0
"1163",0
"1164",0
"1165",0
"1166",0
"1167",0
"1168",3.64670642454421e-05
"1169",3.6538578195912e-05
"1170",0
"1171",4.37976836129062e-05
"1172",0.0298887202222551
"1173",0.0397754443365879
"1174",7.90967602033017e-05
"1175",0.029482009147559
"1176",0.36845466079793
"1177",0.876918505486715
"1178",0.00868167730764499
"1179",0.00686316640023408
"1180",0
"1181",0.00133898632122779
"1182",0.0443590496440548
"1183",0.00247494400554499
"1184",0.00102043466491287
"1185",0.000916932098986377
"1186",0
"1187",0.000967775957954989
"1188",0.00175819559648094
"1189",0.000931013328224617
"1190",0
"1191",0.0288326327101319
"1192",0.0302397243800385
"1193",0.0010482923354667
"1194",0.000388758708017855
"1195",0
"1196",0.00205712736382047
"1197",0.000241954254450949
"1198",0.0066874670625495
"1199",0.00195086488476987
"1200",0.0076682072134198
"1201",0.00467813510264192
"1202",0.00153850124845372
"1203",0.129329254809344
"1204",0.00646019925114034
"1205",0.477496049015155
"1206",4.02592121403985e-05
"1207",1.73535027130181e-05
"1208",0
"1209",0
"1210",0
"1211",0
"1212",0
"1213",0
"1214",0
"1215",0
"1216",0
"1217",0
"1218",0
"1219",0
"1220",0
"1221",0
"1222",0.00537863611103154
"1223",1.24364258449458e-05
"1224",0
"1225",0
"1226",2.52691735402123e-05
"1227",0.000105147714155257
"1228",0.0744893153303006
"1229",0
"1230",0.00010097134424059
"1231",8.0538517655833e-05
"1232",0
"1233",0.097786172788369
"1234",0.000247894960372171
"1235",3.97491140771807e-05
"1236",0.99999155554129
"1237",0.275611756770266
"1238",0.058541332319021
"1239",3.35550914136326e-05
"1240",0.000347582551871816
"1241",0
"1242",0
"1243",0
"1244",0.000115561346469942
"1245",2.84436308758246e-05
"1246",0
"1247",0
"1248",0
"1249",0.000310220973188897
"1250",0
"1251",0
"1252",0
"1253",0.0219444997522627
"1254",0.654466710050814
"1255",0.000374445590422722
"1256",0.0406205181473732
"1257",0
